Stock No.,Stock  Type,Year,Make,Model,Model No.,Model  Type,Body  Style,Color,Interior Color,Engine,Retail,Invoice,Lot,Co.,Age,Status,VIN,Deal  No.,Mileage
84086,NEW,2018,CHEV,COLORADO,12P43,TK,PU,SILVER ICE METALLIC,JET BLACK,LWN 2.8L DURAMAX TURBO-DIESEL,41590,39585.03,,90,,T,1GCPTDE18J1176773,,3
84087,NEW,2018,CHEV,SILVERADO 2500,CK25743,TK,PU,HAVANA METALLIC,SADDLE,L5P DURAMAX 6.6L TURBO-DIESEL V8,69895,65231.31,,90,,T,1GC1KXEY3JF178781,,3
84088,NEW,2018,CHEV,COLORADO,12N43,TK,PU,DEEPWOOD GREEN METALLIC,JET BLACK,LWN 2.8L DURAMAX TURBO-DIESEL,40895,38862.51,,90,,T,1GCPTCE11J1177449,,3
84089,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,SILVER ICE METALLIC,JET BLACK,L83 5.3L ECOTEC3 V8,47990,45101.06,,90,,T,3GCUKREC8JG262767,,3
84090,NEW,2018,CHEV,COLORADO,12P43,TK,PU,KINETIC BLUE METALLIC,JET BLACK,LWN 2.8L DURAMAX TURBO-DIESEL,41985,39946.45,,90,,T,1GCPTDE13J1177040,,3
84091,NEW,2018,CHEV,TRAX,1JU76,MP,UT,SUMMIT WHITE,JET BLACK,LUV ECOTEC TURBO 1.4L VVT DOHC 4-CYLINDER SMFI,21995,21260,,90,,T,3GNCJKSB5JL243058,,3
84092,NEW,2018,CHEV,COLORADO,12P43,TK,PU,DEEPWOOD GREEN METALLIC,JET BLACK,LWN 2.8L DURAMAX TURBO-DIESEL,41590,39585.03,,90,,T,1GCPTDE14J1176897,,3
84093,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,CAJUN RED TINTCOAT,JET BLACK,L83 5.3L ECOTEC3 V8,51095,47989.88,,90,,T,3GCUKREC0JG264335,,3
84094,NEW,2018,CHEV,COLORADO,12N43,TK,PU,GRAPHITE METALLIC,JET BLACK,LGZ 3.6L DI DOHC V6 VVT,36250,34612.34,,90,,T,1GCGTCEN0J1177526,,3
84095,NEW,2018,CHEV,TRAX,1JU76,MP,UT,STORM BLUE METALLIC,JET BLACK,LUV ECOTEC TURBO 1.4L VVT DOHC 4-CYLINDER SMFI,21995,21260,,90,,T,3GNCJKSB3JL240269,,3
84096,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,IRIDESCENT PEARL TRICOAT,JET BLACK,L83 5.3L ECOTEC3 V8,48985,46011.48,,90,,T,3GCUKREC3JG263941,,3
84097,NEW,2018,CHEV,COLORADO,12N43,TK,PU,KINETIC BLUE METALLIC,JET BLACK,LGZ 3.6L DI DOHC V6 VVT,36645,34973.76,,90,,T,1GCGTCEN8J1175765,,3
84098,NEW,2018,CHEV,SILVERADO 1500,CK15743,TK,PU,SUMMIT WHITE,JET BLACK,L83 5.3L ECOTEC3 V8,54660,51366.23,,90,,T,3GCUKSEC9JG265748,,3
84099,NEW,2018,CHEV,COLORADO,12P43,TK,PU,SATIN STEEL GRAY METALLIC,JET BLACK,LWN 2.8L DURAMAX TURBO-DIESEL,41590,39585.03,,90,,T,1GCPTDE11J1175660,,3
84100,NEW,2018,CHEV,TRAVERSE,,MP,UV,CAJUN RED,JET BLACK,,44425,42632.6,,90,15,S,1GNERJKX2JJ159861,,224
84101,NEW,2018,CHEV,TRAVERSE,,MP,UV,IRIDESCENT PEAR,JET BLACK,3.6 Liter DOHC,39105,37243.4,,90,15,S,1GNERGKW5JJ114553,,35
84102,NEW,2018,CHEV,TRAX,1JV76,MP,UT,STORM BLUE METALLIC,JET BLACK,LUV ECOTEC TURBO 1.4L VVT DOHC 4-CYLINDER SMFI,23895,23093.5,,90,,T,3GNCJLSB2JL245081,,3
84103,NEW,2018,CHEV,SILVERADO 1500,CK15743,TK,PU,SILVER ICE METALLIC,COCOA / DUNE,L83 5.3L ECOTEC3 V8,54660,51366.23,,90,,T,3GCUKSEC2JG267017,,3
84104,NEW,2018,CHEV,SUBURBAN 1500,CK15906,MP,UT,HAVANA METALLIC,JET BLACK,L83 5.3L V8 ECOTEC3,60850,57536.23,,90,,T,1GNSKHKC5JR208002,,3
84105,NEW,2018,CHEV,SILVERADO 1500,CK15743,TK,PU,IRIDESCENT PEARL TRICOAT,JET BLACK,L83 5.3L ECOTEC3 V8,55655,52276.65,,90,,T,3GCUKSECXJG266696,,3
84106,NEW,2018,CHEV,SUBURBAN 1500,CK15906,MP,UT,IRIDESCENT PEARL TRICOAT,COCOA/DUNE,L83 5.3L V8 ECOTEC3,76330,71986.93,,90,,T,1GNSKJKC2JR208529,,3
84107,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,DEEP OCEAN BLUE METALLIC,JET BLACK / MED ASH GRAY,L83 5.3L ECOTEC3 V8,58385,54914.23,,90,,T,3GCUKTEC4JG266781,,3
84108,NEW,2018,CHEV,TRAX,1JV76,MP,UT,STORM BLUE METALLIC,JET BLACK,LUV ECOTEC TURBO 1.4L VVT DOHC 4-CYLINDER SMFI,23895,23093.5,,90,,T,3GNCJLSB7JL244220,,3
84109,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,RED HOT,JET BLACK,L83 5.3L ECOTEC3 V8,47990,45101.06,,90,,T,3GCUKREC5JG267506,,3
84110,NEW,2018,CHEV,TRAX,1JU76,MP,UT,SUMMIT WHITE,JET BLACK/LIGHT ASH GRAY,LUV ECOTEC TURBO 1.4L VVT DOHC 4-CYLINDER SMFI,21995,21260,,90,,T,3GNCJKSB3JL248078,,3
84111,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,SUMMIT WHITE,JET BLACK / DARK ASH,LV3 4.3L ECOTEC3 V6,42340,40643.08,,90,,T,3GCUKPEH2JG266247,,3
84112,NEW,2018,CHEV,SUBURBAN 1500,CC15906,MP,UT,SUMMIT WHITE,JET BLACK,L83 5.3L V8 ECOTEC3,51775,48988.7,,90,,T,1GNSCGEC5JR209086,,3
84113,NEW,2018,CHEV,SILVERADO 1500,CK15743,TK,PU,RED HOT,COCOA / DUNE,L83 5.3L ECOTEC3 V8,54660,51366.23,,90,,T,3GCUKSEC7JG269524,,3
84114,NEW,2018,CHEV,SILVERADO 1500,CC15753,TK,PU,RED HOT,JET BLACK / DARK ASH,LV3 4.3L ECOTEC3 V6,36665,35195.08,,90,,T,1GCRCPEH0JZ211296,,3
84115,NEW,2018,CHEV,SILVERADO 1500,CK15543,TK,PU,CAJUN RED TINTCOAT,JET BLACK,L83 5.3L ECOTEC3 V8,48485,45553.98,,90,,T,3GCUKREC0JG270328,,3
84116,NEW,2018,CHEV,SILVERADO 2500,,TK,PU,CAJUN RED,SADDLE,6.6 Liter Turbo,69875,65894.81,,90,8,S,1GC1KXEY6JF150652,,215
84117,NEW,2018,CHEV,TRAX,1JV76,MP,UT,CAJUN RED TINTCOAT,JET BLACK,LUV ECOTEC TURBO 1.4L VVT DOHC 4-CYLINDER SMFI,24290,23454.93,,90,,T,3GNCJLSB4JL242098,,3
84118A,USED,2008,CHEV,COLORADO,CS15643,TK,UT,BLUE,,3.7 Liter,16577,,CUST,90,2,S,1GCCS13E688107975,,53979
84119,S,2018,CHEV,SILVERADO 3500,CK35743,TK,PU,SUMMIT WHITE,LEATHER,L5P DURAMAX 6.6L TURBO-DIESEL V8,69780,64786.66,,90,,T,1GC4K1EY5JF188884,,3
84120,NEW,2018,CHEV,SILVERADO 2500,CK25743,TK,PU,IRIDESCENT PEARL TRICOAT,COCOA / DUNE,L5P DURAMAX 6.6L TURBO-DIESEL V8,70340,65511.69,,90,,T,1GC1KWEY4JF185622,,3
